"","isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
"49",0,1,"AZE","Azerbaijan","XX","N",1990,1995,"X",0.3294187,3.468903,439.9482,0.03294844,0.01012923,0.004894427,0.01507527,0.3465029,358.5998,0.2078099,-1,7.159,"AZE_N1995X",0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
"50",0,1,"AZE","Azerbaijan","XX","N",1993,1995,"X",0.3294187,3.468903,246.7248,0.1388498,0.03943726,0.01785561,0.05657732,0.3465029,201.1043,0.2078099,-1,7.495,"AZE_N1995X",0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
"51",1,1,"AZE","Azerbaijan","XX","N",1996,NA,"X",0.3294187,3.468903,175.8026,0.3038511,0.09016855,0.0399032,0.1263552,-1,-1,-1,-1,7.763,"AZE_N1995X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"52",1,1,"AZE","Azerbaijan","XX","N",1999,NA,"X",0.3294187,3.468903,197.2029,0.2480673,0.06561635,0.02591217,0.08699472,-1,-1,-1,-1,7.98275,"AZE_N1995X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"53",0,1,"AZE","Azerbaijan","XX","N",2002,2002,"X",0.3294187,3.468903,264.3415,0.01198132,0.001407645,0.0003357153,0.001625419,0.2527767,225.3494,0.1062966,-1,8.17195,"AZE_N2002X",0.04838,0.06092,0.06833,0.07509,0.08185,0.08892,0.09808,0.1117,0.1349,0.2319
"54",0,1,"AZE","Azerbaijan","XX","N",2005,2005,"X",0.3294187,3.468903,315.138,0.001444742,8.026669e-05,8.439987e-06,8.491699e-05,0.2655491,261.3297,0.1164948,-1,8.39185,"AZE_N2005X",0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
"55",0,1,"AZE","Azerbaijan","XX","N",2008,2005,"X",0.3294187,3.468903,517.9765,0,0,0,0,0.2655491,429.5345,0.1164948,-1,8.7634,"AZE_N2005X",0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
"56",0,1,"AZE","Azerbaijan","XX","N",2010,2005,"X",0.3294187,3.468903,453.5098,0,0,0,0,0.2655491,376.0752,0.1164948,-1,9.054332,"AZE_N2005X",0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
"57",0,1,"AZE","Azerbaijan","XX","N",2011,2005,"X",0.3294187,3.468903,554.6486,0,0,0,0,0.2655491,459.945,0.1164948,-1,9.173082,"AZE_N2005X",0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
"58",0,1,"AZE","Azerbaijan","XX","N",2012,2005,"X",0.3294187,3.468903,559.3686,0,0,0,0,0.2655491,463.8591,0.1164948,-1,9.295784,"AZE_N2005X",0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
"59",0,1,"AZE","Azerbaijan","XX","N",2013,2005,"X",0.3294187,3.468903,649.448,0,0,0,0,0.2655491,538.5578,0.1164948,-1,9.416801,"AZE_N2005X",0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
"60",0,1,"AZE","Azerbaijan","XX","N",2015,2005,"X",0.3294187,3.468903,653.584,0,0,0,0,0.2655491,541.9877,0.1164948,-1,9.649341,"AZE_N2005X",0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
"61",0,0,"BDI","Burundi","XX","N",1981,1992,"X",487.3273,1.762093,39.21951,0.8163198,0.3731805,0.2055163,0.5750903,0.3333381,31.85375,0.1824366,0.2822712,4.223195,"BDI_N1992X",0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
"62",0,0,"BDI","Burundi","XX","N",1984,1992,"X",487.3273,1.762093,37.24108,0.8373057,0.3960774,0.2231514,0.6186416,0.3333381,30.24689,0.1824366,0.2822712,4.571292,"BDI_N1992X",0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
"63",0,0,"BDI","Burundi","XX","N",1987,1992,"X",487.3273,1.762093,41.56141,0.7902616,0.3474764,0.1864455,0.5276386,0.3333381,33.75582,0.1824366,0.2822712,4.987736,"BDI_N1992X",0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
"64",0,0,"BDI","Burundi","XX","N",1990,1992,"X",487.3273,1.762093,42.17361,0.7832598,0.3410054,0.1817621,0.5141027,0.3333381,34.25305,0.1824366,0.2822712,5.415415,"BDI_N1992X",0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
"65",1,1,"BDI","Burundi","XX","N",1993,NA,"X",487.3273,1.762093,41.80762,0.7878664,0.3524574,0.1934728,0.5441353,-1,-1,-1,-1,5.771398,"BDI_N1992X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"66",1,1,"BDI","Burundi","XX","N",1996,NA,"X",487.3273,1.762093,39.32202,0.8123764,0.4005509,0.2396216,0.6627557,-1,-1,-1,-1,6.041112,"BDI_N1992X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"67",1,1,"BDI","Burundi","XX","N",1999,NA,"X",487.3273,1.762093,39.53335,0.80904,0.4138105,0.2565505,0.7078689,-1,-1,-1,-1,6.27894,"BDI_N1998X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"68",1,1,"BDI","Burundi","XX","N",2002,NA,"X",487.3273,1.762093,43.35803,0.7781442,0.3603593,0.2056269,0.5770831,-1,-1,-1,-1,6.741569,"BDI_N1998X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"69",1,1,"BDI","Burundi","XX","N",2005,NA,"X",487.3273,1.762093,45.3601,0.762972,0.3237851,0.1659134,0.4729536,-1,-1,-1,-1,7.423289,"BDI_N1998X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"70",1,1,"BDI","Burundi","XX","N",2008,NA,"X",487.3273,1.762093,48.76165,0.7342421,0.2939762,0.1436686,0.4147808,-1,-1,-1,-1,8.212264,"BDI_N2006X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"71",1,1,"BDI","Burundi","XX","N",2010,NA,"X",487.3273,1.762093,50.52182,0.7158522,0.2871646,0.1426368,0.4104878,-1,-1,-1,-1,8.76693,"BDI_N2006X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"72",1,1,"BDI","Burundi","XX","N",2011,NA,"X",487.3273,1.762093,51.20917,0.7085451,0.2858028,0.1434906,0.4115589,-1,-1,-1,-1,9.043508,"BDI_N2006X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"73",1,1,"BDI","Burundi","XX","N",2012,NA,"X",487.3273,1.762093,52.30994,0.6972521,0.2813388,0.1422466,0.4072916,-1,-1,-1,-1,9.31971,"BDI_N2006X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
